Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
461,35142083953,9.44,0.0,16.34,21.0,21.0,2024-01-02
461,4427243325785,5.0,0.0,3.36,4.3,4.3,2024-01-02
461,4427243325785,10.0,0.0,2.74,3.51,3.51,2024-01-02
461,4427243325785,6.0,0.0,3.0,3.83,3.83,2024-01-02
461,4427243325785,5.0,0.0,2.6,3.33,3.33,2024-01-02
461,4427243326745,4.0,0.0,8.57,11.02,11.02,2024-01-02
461,4427921725363,2.0,0.0,6.0,7.64,7.64,2024-01-02
461,4431172896042,5.0,0.0,14.79,20.3,20.3,2024-01-02
461,4431172896042,4.0,0.0,6.51,8.93,8.93,2024-01-02
461,3510004427,8.22,0.0,14.29,17.9,17.9,2024-01-02
461,4431172894951,3.0,0.0,9.01,12.94,12.94,2024-01-02
461,35142091293,6.16,0.0,8.85,11.35,11.35,2024-01-02
461,35142090256,3.71,0.0,19.0,22.18,22.18,2024-01-02
461,5709778976738,10.0,23.0,2.23,3.91,3.18,2024-01-02
461,4426802272575,2.0,23.0,1.75,2.97,2.41,2024-01-02
461,4427243325075,7.0,0.0,4.28,5.39,5.39,2024-01-02
461,4425615015242,9.0,0.0,4.19,5.95,5.95,2024-01-02
461,4425010501635,9.0,23.0,5.19,7.39,6.02,2024-01-02
461,4425800556889,7.0,0.0,1.7,2.5,2.5,2024-01-02
461,3008850425561,2.0,0.0,3.86,5.59,5.59,2024-01-02
461,5709777728242,10.0,0.0,2.97,4.36,4.36,2024-01-02
461,4425384225081,8.0,0.0,5.99,6.58,6.58,2024-01-02
461,35142097746,8.0,0.0,2.02,2.53,2.53,2024-01-02
461,4425800554971,9.0,0.0,1.78,2.68,2.68,2024-01-02
461,4425800602513,8.0,0.0,2.72,3.87,3.87,2024-01-02
461,4427243325785,4.0,0.0,3.24,4.14,4.14,2024-01-02
461,4425037367251,8.0,0.0,3.14,4.14,4.14,2024-01-02
461,3510003540,9.0,0.0,2.14,2.8,2.8,2024-01-02
461,35142097521,9.0,0.0,2.47,3.27,3.27,2024-01-02
461,35142085431,10.0,0.0,4.94,6.89,6.89,2024-01-02
461,4427820528236,4.0,0.0,1.57,2.59,2.59,2024-01-02
461,4425800554536,8.0,0.0,2.3,3.45,3.45,2024-01-02
461,4429530047905,6.0,0.0,2.02,2.88,2.88,2024-01-02
461,4430857029400,7.0,0.0,5.85,7.58,7.58,2024-01-02
461,4425063750086,9.0,0.0,2.15,3.47,3.47,2024-01-02
461,35142097746,5.0,0.0,1.87,2.33,2.33,2024-01-02
461,4425384240251,6.0,0.0,3.85,5.32,5.32,2024-01-02
461,4427243325075,8.0,0.0,5.01,6.31,6.31,2024-01-02
461,4431172890015,4.0,0.0,31.24,43.75,43.75,2024-01-02
461,4427174356680,5.0,0.0,4.19,5.85,5.85,2024-01-02
461,5832750010672,6.31,0.0,15.05,19.42,19.42,2024-01-02
461,4086750000747,5.0,23.0,4.83,8.3,6.75,2024-01-02
461,4430731112336,11.0,0.0,18.18,26.72,26.72,2024-01-02
461,4426759507958,2.0,0.0,5.9,7.68,7.68,2024-01-02
461,4430037375276,9.0,23.0,19.96,25.44,20.68,2024-01-02
461,35142089140,9.38,0.0,14.36,22.44,22.44,2024-01-02
461,5709773857569,9.0,0.0,1.37,2.02,2.02,2024-01-02
461,5709776327720,6.0,8.0,2.33,3.76,3.5,2024-01-02
461,4430081499355,6.0,0.0,10.09,14.4,14.4,2024-01-02
461,4427820528310,7.0,8.0,2.59,4.11,3.81,2024-01-02
461,4427820528315,10.0,8.0,2.89,4.57,4.24,2024-01-02
461,4427820525261,9.0,23.0,0.58,1.02,0.83,2024-01-02
461,3510000945,11.0,0.0,6.52,8.32,8.32,2024-01-02
461,4425147767881,9.0,0.0,6.79,9.14,9.14,2024-01-02
461,6000375144600,6.0,23.0,15.42,27.6,22.44,2024-01-02
461,4430582617539,5.0,0.0,5.99,7.39,7.39,2024-01-02
